date,Average_Score,Stock
2009-08-10,0.998825341463089,HD
2009-08-12,0.0,HD
2009-08-13,0.9476910829544068,HD
2009-08-16,0.0,HD
2009-08-17,0.0,HD
2009-08-18,0.0,HD
2009-08-27,0.9996337890625,HD
2009-09-02,0.0,HD
2009-09-03,0.9893890917301178,HD
2009-09-04,0.0,HD
2009-09-08,0.0,HD
2009-09-09,0.0,HD
2009-09-10,0.9956753849983216,HD
2009-09-11,0.0,HD
2009-09-15,0.0,HD
2009-09-24,0.0,HD
2009-10-01,0.998991310596466,HD
2009-10-24,0.9993846416473388,HD
2009-11-09,0.9995753169059752,HD
2009-11-10,-0.9984229803085328,HD
2009-11-11,0.9994401335716248,HD
2009-11-12,0.0,HD
2009-11-16,0.0,HD
2009-11-17,0.999686598777771,HD
2009-11-18,0.9994961023330688,HD
2009-11-23,0.996585249900818,HD
2009-11-28,-0.9412469863891602,HD
2009-11-30,0.969148337841034,HD
2009-12-02,0.9922327399253844,HD
2009-12-04,0.9991797804832458,HD
2009-12-15,0.9993032217025756,HD
2009-12-16,-0.9981355667114258,HD
2009-12-17,0.6359455585479736,HD
2009-12-21,0.0,HD
2009-12-22,0.0,HD
2009-12-23,-0.9985058307647704,HD
2009-12-28,0.999445915222168,HD
2010-01-05,-0.9983766078948976,HD
2010-01-07,0.9929074048995972,HD
2010-01-12,0.9996788501739502,HD
2010-01-14,0.9996910095214844,HD
2010-01-21,0.999363124370575,HD
2010-01-26,-0.9918518662452698,HD
2010-02-03,0.0,HD
2010-02-05,0.0,HD
2010-02-08,0.0,HD
2010-02-09,0.0,HD
2010-02-17,0.507013201713562,HD
2010-02-19,-0.9981797933578492,HD
2010-02-22,-0.9945599436759948,HD
2010-02-23,0.9988131284713745,HD
2010-02-24,-0.007689774036407582,HD
2010-02-25,0.0,HD
2010-03-04,0.0,HD
2010-03-06,0.8111110925674438,HD
2010-03-12,0.9993972778320312,HD
2010-03-16,0.0,HD
2010-03-17,0.0,HD
2010-03-19,0.9995579123497008,HD
2010-03-20,0.0,HD
2010-03-23,-0.9986514449119568,HD
2010-03-25,-0.6081052422523499,HD
2010-04-06,0.0,HD
2010-04-07,0.9717341661453247,HD
2010-04-08,0.0,HD
2010-04-12,0.0,HD
2010-04-14,0.0,HD
2010-04-19,0.0,HD
2010-04-23,0.9996337890625,HD
2010-04-29,0.0,HD
2010-05-02,0.0,HD
2010-05-13,0.9989627599716188,HD
2010-05-14,0.0,HD
2010-05-16,0.0,HD
2010-05-17,-0.08585745096206654,HD
2010-05-18,0.0028919378916421046,HD
2010-05-19,0.997670829296112,HD
2010-05-25,-0.9956775307655334,HD
2010-05-26,0.9472397863864899,HD
2010-05-28,0.9996520280838012,HD
2010-06-04,0.0,HD
2010-06-09,0.0,HD
2010-06-10,0.48959964513778687,HD
2010-06-11,0.0,HD
2010-06-14,-0.9272161722183228,HD
2010-06-16,0.0,HD
2010-06-17,0.9995436072349548,HD
2010-06-22,0.0,HD
2010-06-23,-0.9984049201011658,HD
2010-06-24,0.0,HD
2010-06-28,0.0014036297798155628,HD
2010-06-30,-0.997021496295929,HD
2010-07-01,0.0012536048889160156,HD
2010-07-02,0.0,HD
2010-07-06,-0.01363152265548695,HD
2010-07-07,0.0,HD
2010-07-14,0.0,HD
2010-07-16,0.0,HD
2010-07-19,0.9980791807174684,HD
2010-07-25,0.0,HD
2010-07-27,0.0,HD
2010-07-28,0.003662109375,HD
2010-07-29,-0.9983831644058228,HD
2010-07-30,0.0,HD
2010-08-04,0.0,HD
2010-08-11,0.9980443716049194,HD
2010-08-12,0.994073212146759,HD
2010-08-13,0.0,HD
2010-08-15,0.0,HD
2010-08-16,-0.9880405068397522,HD
2010-08-17,0.0020157959726122554,HD
2010-08-18,-0.2511454075574875,HD
2010-08-19,0.0,HD
2010-08-20,0.0,HD
2010-08-25,0.0,HD
2010-08-26,0.0,HD
2010-09-02,0.0,HD
2010-09-03,0.0,HD
2010-09-08,0.0,HD
2010-09-09,0.6659109592437744,HD
2010-09-10,0.0,HD
2010-09-13,0.0,HD
2010-09-14,0.9996577501296996,HD
2010-09-15,0.0,HD
2010-09-16,0.0,HD
2010-09-20,0.0,HD
2010-09-30,-0.6030414700508118,HD
2010-10-05,-0.9943295121192932,HD
2010-10-06,0.0,HD
2010-10-07,0.9786952137947084,HD
2010-10-08,0.0,HD
2010-10-11,0.0,HD
2010-10-14,0.0,HD
2010-10-18,0.9996622800827026,HD
2010-10-19,0.022834420204162598,HD
2010-10-21,0.0,HD
2010-10-22,0.0,HD
2010-10-25,0.0,HD
2010-10-27,0.0,HD
2010-11-02,0.0,HD
2010-11-03,0.0,HD
2010-11-04,0.0,HD
2010-11-08,0.960811197757721,HD
2010-11-12,0.0,HD
2010-11-15,0.0,HD
2010-11-16,0.009492169533457107,HD
2010-11-17,0.9996139407157898,HD
2010-11-18,0.0,HD
2010-11-22,0.0,HD
2010-11-23,0.0,HD
2010-11-24,0.0,HD
2010-11-25,0.0,HD
2010-11-26,0.9990978240966796,HD
2010-11-29,0.0,HD
2010-12-01,0.0,HD
2010-12-02,0.9995405673980712,HD
2010-12-07,0.9996469020843506,HD
2010-12-08,0.9994638860225677,HD
2010-12-09,0.9995373686154684,HD
2010-12-14,0.9992923736572266,HD
2010-12-15,0.0,HD
2010-12-16,0.0,HD
2010-12-22,0.0,HD
2010-12-23,0.0,HD
2010-12-27,0.0,HD
2010-12-29,0.0,HD
2011-01-03,0.9971328973770142,HD
2011-01-04,0.0,HD
2011-01-05,0.0,HD
2011-01-06,0.9781705737113952,HD
2011-01-11,0.9996515512466432,HD
2011-01-12,0.0,HD
2011-01-13,0.0,HD
2011-01-15,0.0,HD
2011-01-18,-0.994280219078064,HD
2011-01-19,0.0,HD
2011-01-20,0.5348173081874847,HD
2011-01-21,0.0,HD
2011-01-26,-0.9852251410484314,HD
2011-01-27,0.9996545314788818,HD
2011-01-28,0.0,HD
2011-01-31,0.9371862411499025,HD
2011-02-03,0.0,HD
2011-02-04,0.9997108578681946,HD
2011-02-16,0.0,HD
2011-02-18,0.9990644752979279,HD
2011-02-22,0.009457538525263653,HD
2011-02-23,0.9988804012537003,HD
2011-02-24,-0.9985034465789796,HD
2011-03-02,0.0,HD
2011-03-15,0.0,HD
2011-03-22,0.0,HD
2011-03-23,0.99950110912323,HD
2011-03-24,0.0,HD
2011-03-28,0.0,HD
2011-03-29,0.0035887559254965673,HD
2011-03-30,0.0,HD
2011-04-12,0.0,HD
2011-04-13,0.0,HD
2011-04-14,0.0,HD
2011-04-18,0.0,HD
2011-04-25,0.0,HD
2011-04-26,-0.6273971796035767,HD
2011-04-28,0.0,HD
2011-05-02,0.0,HD
2011-05-06,0.0,HD
2011-05-09,0.0,HD
2011-05-12,0.0,HD
2011-05-16,0.997904658317566,HD
2011-05-17,0.9572938531637192,HD
2011-05-18,0.9982635676860809,HD
2011-05-19,0.0,HD
2011-05-22,0.0,HD
2011-05-23,0.0,HD
2011-05-24,0.9669657945632936,HD
2011-05-25,0.0,HD
2011-05-27,0.0,HD
2011-06-02,-0.9078466892242432,HD
2011-06-07,0.0,HD
2011-06-08,0.0,HD
2011-06-10,0.0,HD
2011-06-14,0.9984790682792664,HD
2011-06-15,0.9910265803337096,HD
2011-06-16,0.9993797540664672,HD
2011-06-23,0.0,HD
2011-06-27,0.0,HD
2011-06-28,0.0,HD
2011-06-30,0.9936617612838744,HD
2011-07-01,0.0,HD
2011-07-05,0.0,HD
2011-07-18,0.0,HD
2011-07-19,0.0,HD
2011-07-21,0.0,HD
2011-07-22,0.0,HD
2011-07-26,-0.9947128891944884,HD
2011-07-28,0.001287519931793324,HD
2011-08-01,0.9936109185218812,HD
2011-08-04,0.0,HD
2011-08-07,0.0,HD
2011-08-10,0.9033759534358978,HD
2011-08-11,0.9996168613433838,HD
2011-08-12,0.0,HD
2011-08-14,0.0,HD
2011-08-15,-0.9891154766082764,HD
2011-08-16,0.9886318147182465,HD
2011-08-17,0.8431255102157593,HD
2011-08-18,0.0,HD
2011-08-30,0.9992172718048096,HD
2011-09-07,0.0,HD
2011-09-15,0.9963108897209167,HD
2011-09-21,0.0,HD
2011-09-28,0.0,HD
2011-10-04,0.0,HD
2011-10-05,-0.997584581375122,HD
2011-10-06,0.0,HD
2011-10-07,0.0,HD
2011-10-11,-0.9949164390563964,HD
2011-10-17,0.9988896250724792,HD
2011-10-18,0.0,HD
2011-10-24,0.9990772008895874,HD
2011-10-25,0.0,HD
2011-11-07,0.9995813965797424,HD
2011-11-09,0.9996846914291382,HD
2011-11-11,0.9996652901172638,HD
2011-11-13,0.0,HD
2011-11-14,0.9967376589775084,HD
2011-11-15,0.004502654075622559,HD
2011-11-16,0.9993452231089274,HD
2011-11-21,0.9994237422943116,HD
2011-11-22,0.0,HD
2011-11-28,0.9995813965797424,HD
2011-11-29,0.0,HD
2011-11-30,0.9992788434028624,HD
2011-12-01,0.0,HD
2011-12-02,0.9993146657943726,HD
2011-12-05,0.9991709887981415,HD
2011-12-06,0.9992345571517944,HD
2011-12-07,0.9985471069812775,HD
2011-12-08,-0.5368198156356812,HD
2011-12-12,-0.998303771018982,HD
2011-12-19,0.0,HD
2011-12-20,0.9991400241851808,HD
2011-12-21,0.9992619156837464,HD
2011-12-22,0.9990177154541016,HD
2011-12-27,0.9850421249866486,HD
2011-12-29,0.0,HD
2012-01-03,0.9993314743041992,HD
2012-01-04,0.0005706548690794788,HD
2012-01-05,0.999333679676056,HD
2012-01-06,0.9986386299133301,HD
2012-01-09,0.9981318116188048,HD
2012-01-11,0.9497963488101959,HD
2012-01-12,0.9993420243263244,HD
2012-01-17,0.9993582367897034,HD
2012-01-18,0.9995381236076355,HD
2012-01-19,0.9990864098072052,HD
2012-01-20,0.0,HD
2012-01-23,0.0,HD
2012-01-25,-0.9987586736679076,HD
2012-01-30,0.9957369565963744,HD
2012-01-31,0.0,HD
2012-02-01,-0.998769223690033,HD
2012-02-07,0.9993213415145874,HD
2012-02-08,0.9996089339256288,HD
2012-02-13,0.9993002414703368,HD
2012-02-14,0.9992337226867676,HD
2012-02-15,-0.998781144618988,HD
2012-02-16,0.9993114471435548,HD
2012-02-17,0.9979588985443116,HD
2012-02-19,0.0,HD
2012-02-21,0.9983463048934936,HD
2012-02-22,0.0005157391230263819,HD
2012-02-24,0.99964439868927,HD
2012-02-26,0.0,HD
2012-02-27,0.9993999004364014,HD
2012-02-28,-0.9982032775878906,HD
2012-02-29,0.9996392726898192,HD
2012-03-01,0.0,HD
2012-03-06,0.0,HD
2012-03-08,0.9886956214904784,HD
2012-03-12,0.0,HD
2012-03-13,0.0,HD
2012-03-14,-0.998767912387848,HD
2012-03-16,0.0,HD
2012-03-19,0.0,HD
2012-03-20,0.9814625978469848,HD
2012-03-21,-0.00013387203216541632,HD
2012-03-23,0.999514102935791,HD
2012-03-26,0.9985445737838744,HD
2012-03-28,-0.9987723231315612,HD
2012-04-04,0.9997206330299376,HD
2012-04-05,0.0,HD
2012-04-10,0.0,HD
2012-04-14,-0.966517448425293,HD
2012-04-16,0.9427172690629959,HD
2012-04-17,0.0,HD
2012-04-19,0.9995007514953612,HD
2012-04-20,0.9993237853050232,HD
2012-04-23,0.0,HD
2012-04-24,0.99964439868927,HD
2012-04-26,0.9996802806854248,HD
2012-05-01,0.9990097284317015,HD
2012-05-02,0.9997192025184632,HD
2012-05-06,0.0,HD
2012-05-07,0.0,HD
