date,Average_Score,Stock
2011-03-03,-0.9978561997413636,NVDA
2011-03-07,0.0,NVDA
2011-03-08,0.007060796022415272,NVDA
2011-03-09,0.0,NVDA
2011-03-10,0.0,NVDA
2011-03-15,0.0,NVDA
2011-03-16,-0.9983041286468506,NVDA
2011-03-22,0.0,NVDA
2011-03-24,0.0,NVDA
2011-03-28,0.9994995892047882,NVDA
2011-03-29,0.0,NVDA
2011-03-30,0.0,NVDA
2011-04-04,-0.9984068274497986,NVDA
2011-04-06,0.0,NVDA
2011-04-07,0.9997184872627258,NVDA
2011-04-08,-0.998557984828949,NVDA
2011-04-12,0.999467432498932,NVDA
2011-04-14,0.0,NVDA
2011-04-16,0.0,NVDA
2011-04-18,0.0,NVDA
2011-04-26,0.0,NVDA
2011-04-27,0.0,NVDA
2011-04-28,0.0,NVDA
2011-04-29,0.0,NVDA
2011-05-09,0.8860393464565277,NVDA
2011-05-10,0.0,NVDA
2011-05-11,0.0,NVDA
2011-05-12,-0.008391320705413707,NVDA
2011-05-13,-0.0018842379252115293,NVDA
2011-05-16,-0.9963114857673644,NVDA
2011-05-17,-0.9526046514511108,NVDA
2011-05-18,0.0,NVDA
2011-05-23,0.9977595806121826,NVDA
2011-05-24,0.0,NVDA
2011-05-26,0.0,NVDA
2011-05-31,0.9990873336791992,NVDA
2011-06-01,0.0,NVDA
2011-06-02,-0.9932519793510436,NVDA
2011-06-09,0.9996293485164642,NVDA
2011-06-15,-0.9979442954063416,NVDA
2011-06-23,0.0,NVDA
2011-06-27,0.0,NVDA
2011-06-30,0.0,NVDA
2011-07-05,0.0,NVDA
2011-07-18,0.0,NVDA
2011-07-19,0.0,NVDA
2011-07-21,0.0,NVDA
2011-07-26,0.0,NVDA
2011-07-28,0.0,NVDA
2011-08-01,0.0,NVDA
2011-08-02,0.0,NVDA
2011-08-03,0.0,NVDA
2011-08-07,0.0,NVDA
2011-08-08,0.9757384955883026,NVDA
2011-08-10,0.9890652894973756,NVDA
2011-08-11,0.9995477199554443,NVDA
2011-08-12,0.009932910402615902,NVDA
2011-08-15,0.0,NVDA
2011-08-23,0.999653160572052,NVDA
2011-08-26,0.7320784330368042,NVDA
2011-08-31,0.0,NVDA
2011-09-04,0.0,NVDA
2011-09-06,0.9996246099472046,NVDA
2011-09-07,0.9995827078819276,NVDA
2011-09-08,0.9951319694519044,NVDA
2011-09-12,0.0,NVDA
2011-09-13,0.9772747755050659,NVDA
2011-09-14,0.0,NVDA
2011-09-19,0.0,NVDA
2011-09-20,0.0,NVDA
2011-09-26,0.0,NVDA
2011-09-28,0.0,NVDA
2011-09-29,-0.9971458315849304,NVDA
2011-10-03,0.0,NVDA
2011-10-05,0.0,NVDA
2011-10-11,0.0,NVDA
2011-10-13,0.0,NVDA
2011-10-20,0.0,NVDA
2011-10-21,0.0,NVDA
2011-10-27,0.0,NVDA
2011-10-31,0.655392587184906,NVDA
2011-11-01,-0.9984622001647948,NVDA
2011-11-03,0.0,NVDA
2011-11-08,0.9996182918548584,NVDA
2011-11-10,0.9989850322405497,NVDA
2011-11-11,0.9942785501480103,NVDA
2011-11-14,0.0,NVDA
2011-11-17,0.0,NVDA
2011-11-21,0.999176949262619,NVDA
2011-11-22,-0.004330843687057495,NVDA
2011-11-28,0.0,NVDA
2011-12-01,0.0,NVDA
2011-12-12,-0.9983496963977814,NVDA
2011-12-14,0.0,NVDA
2011-12-19,0.9995514750480652,NVDA
2011-12-22,0.0,NVDA
2011-12-23,0.0,NVDA
2012-01-05,0.0,NVDA
2012-01-11,0.9797088503837584,NVDA
2012-01-17,0.0,NVDA
2012-01-24,-0.9106252789497375,NVDA
2012-01-25,0.029829710721969604,NVDA
2012-02-06,0.0,NVDA
2012-02-08,0.999522070089976,NVDA
2012-02-12,0.0,NVDA
2012-02-13,0.9551733493804931,NVDA
2012-02-15,0.0016881227493286133,NVDA
2012-02-16,0.0030703345934548487,NVDA
2012-02-22,0.0,NVDA
2012-03-07,-0.9980306029319764,NVDA
2012-03-13,0.0,NVDA
2012-04-02,0.0,NVDA
2012-04-05,0.0,NVDA
2012-04-13,0.0,NVDA
2012-04-16,-0.9981563687324524,NVDA
2012-04-24,0.0,NVDA
2012-05-06,0.0,NVDA
2012-05-09,0.0,NVDA
2012-05-11,0.0032498538494110107,NVDA
2012-05-14,-0.8182356357574463,NVDA
2012-05-15,0.0,NVDA
2012-05-21,-0.6284403204917908,NVDA
2012-05-25,0.0,NVDA
2012-05-27,0.0,NVDA
2012-05-29,0.0,NVDA
2012-05-31,0.0,NVDA
2012-06-04,0.0,NVDA
2012-06-07,0.0018895268440246582,NVDA
2012-06-11,0.8845735092957815,NVDA
2012-06-13,0.0,NVDA
2012-06-15,0.0,NVDA
2012-06-19,0.9996999502182008,NVDA
2012-06-20,0.9993985891342164,NVDA
2012-06-25,0.9993675351142883,NVDA
2012-06-27,0.0,NVDA
2012-06-28,0.0,NVDA
2012-07-03,0.0,NVDA
2012-07-10,0.007765471935272217,NVDA
2012-07-16,0.9980759620666504,NVDA
2012-07-18,0.9680044054985046,NVDA
2012-07-19,0.0,NVDA
2012-07-31,0.0,NVDA
2012-08-07,0.999675750732422,NVDA
2012-08-08,0.999669909477234,NVDA
2012-08-09,0.9995044469833374,NVDA
2012-08-10,0.009070005681779625,NVDA
2012-08-13,0.0,NVDA
2012-08-15,0.0,NVDA
2012-08-21,0.0,NVDA
2012-08-27,0.0,NVDA
2012-09-04,0.0,NVDA
2012-09-06,0.0,NVDA
2012-09-07,-0.99844628572464,NVDA
2012-09-13,0.9994414448738098,NVDA
2012-09-25,0.0,NVDA
2012-09-26,0.948113977909088,NVDA
2012-09-28,0.0,NVDA
2012-10-01,0.0,NVDA
2012-10-05,0.9995827078819276,NVDA
