date,Average_Score,Stock
2016-01-14,0.0,PFE
2016-01-15,0.0,PFE
2016-01-21,0.9936417639255524,PFE
2016-01-25,0.0,PFE
2016-01-28,0.0,PFE
2016-01-31,-0.9972623586654664,PFE
2016-02-01,0.0,PFE
2016-02-02,0.0006427764892579235,PFE
2016-02-03,0.0,PFE
2016-02-04,0.0,PFE
2016-02-05,0.0,PFE
2016-02-08,0.859605054060618,PFE
2016-02-09,0.0,PFE
2016-02-10,0.0,PFE
2016-02-12,0.0,PFE
2016-02-13,0.996673345565796,PFE
2016-02-16,0.9969230592250824,PFE
2016-02-17,0.0,PFE
2016-02-22,0.9995571672916412,PFE
2016-02-23,0.0,PFE
2016-02-24,0.9989120960235596,PFE
2016-02-25,0.0,PFE
2016-03-01,0.0,PFE
2016-03-03,0.0,PFE
2016-03-07,0.0,PFE
2016-03-08,0.9178173144658407,PFE
2016-03-09,0.9970644116401672,PFE
2016-03-11,0.9851831793785096,PFE
2016-03-13,0.0,PFE
2016-03-14,0.0,PFE
2016-03-15,0.0,PFE
2016-03-18,0.0,PFE
2016-03-21,0.9980974793434144,PFE
2016-03-23,0.0,PFE
2016-03-28,0.9949486255645752,PFE
2016-03-30,0.0,PFE
2016-03-31,0.0,PFE
2016-04-01,0.0,PFE
2016-04-03,0.0,PFE
2016-04-04,-0.0006620089213051905,PFE
2016-04-05,0.12160885334014893,PFE
2016-04-06,0.009948360919952437,PFE
2016-04-07,0.0075584352016448975,PFE
2016-04-08,0.0,PFE
2016-04-11,0.0,PFE
2016-04-12,0.8355932235717773,PFE
2016-04-13,0.9974426031112672,PFE
2016-04-15,0.0,PFE
2016-04-17,0.0,PFE
2016-04-18,0.0,PFE
2016-04-19,0.9995410144329072,PFE
2016-04-20,-0.998008906841278,PFE
2016-04-25,-0.9958502054214478,PFE
2016-04-26,0.0,PFE
2016-04-27,0.9994364380836488,PFE
2016-04-29,0.999665141105652,PFE
2016-05-01,0.9996457099914552,PFE
2016-05-02,0.0,PFE
2016-05-03,0.16581271588802338,PFE
2016-05-04,0.0,PFE
2016-05-05,0.9990441203117372,PFE
2016-05-09,-0.03589659929275513,PFE
2016-05-10,0.9986778199672698,PFE
2016-05-11,0.9993461966514589,PFE
2016-05-12,-0.021222084760665894,PFE
2016-05-13,0.0,PFE
2016-05-16,-0.23681950569152832,PFE
2016-05-17,0.7661374807357788,PFE
2016-05-19,0.0,PFE
2016-05-20,0.9984872341156006,PFE
2016-05-23,0.0,PFE
2016-05-24,0.0,PFE
2016-05-26,0.0,PFE
2016-05-31,0.9942057728767396,PFE
2016-06-03,0.0016486048698426403,PFE
2016-06-04,0.0,PFE
2016-06-06,0.0,PFE
2016-06-07,0.0,PFE
2016-06-08,0.0,PFE
2016-06-09,0.0,PFE
2016-06-10,0.0468696951866151,PFE
2016-06-12,0.9993845224380492,PFE
