,Unnamed: 0.1,Unnamed: 0,title,date,stock,Text_Cleaned,Score,label,score
557606,557606,568379.0,"Facebook, Snap Analyst Projects Q2 Revenue Upside For Social Media Stocks",2020-06-10 15:25:00-04:00,GOOG,facebook snap analyst projects second quarter revenue upside for social media stocks,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",positive,0.9995504021644592
557607,557607,568380.0,"How Cannabis Company Cannaphyll Is Marketing On Mass-Consumer Platforms, Google And Amazon",2020-06-10 13:18:00-04:00,GOOG,how cannabis company cannaphyll is marketing on mass consumer platforms google and amazon,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.1779}",neutral,0.9998921155929565
557608,557608,568381.0,"Twitter, Square Will Mark Juneteenth As Holiday To Honor African-American Culture",2020-06-10 00:28:00-04:00,GOOG,twitter square will mark juneteenth as holiday to honor african american culture,"{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.7096}",neutral,0.9998249411582947
557609,557609,568382.0,Price Over Earnings Overview: Alphabet,2020-06-09 14:39:00-04:00,GOOG,price over earnings overview alphabet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998501539230347
557610,557610,568383.0,"Google Maps To Offer Relevant Local COVID-19 Information For Public Transport, Driving And Testing Centers",2020-06-09 03:51:00-04:00,GOOG,google maps to offer relevant local covid 19 information for public transport driving and testing centers,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998941421508789
557611,557611,568384.0,"Starting This Week, Testing Center Alerts Will Be Available On Google Maps In U.S.; New Google Maps Features Alert You Of Important COVID-19 Information And Help User Avoid Crowds On Public Transit",2020-06-08 11:25:00-04:00,GOOG,starting this week testing center alerts will be available on google maps in us new google maps features alert you of important covid 19 information and help avoid crowds on public transit,"{'neg': 0.06, 'neu': 0.759, 'pos': 0.182, 'compound': 0.5423}",neutral,0.9998518228530884
557612,557612,568385.0,CNBC Publishes Article Titled: States are Leaning Toward a Push to Break Up Google's Ad Tech Business,2020-06-05 13:28:00-04:00,GOOG,cnbc publishes article titled states are leaning toward a push to break up googles ad tech business,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9996689558029175
557613,557613,568386.0,Congress Is Stepping Up Its Efforts To Kill Payday Loans,2020-06-05 12:53:00-04:00,GOOG,congress is stepping up its efforts to kill payday loans,"{'neg': 0.343, 'neu': 0.657, 'pos': 0.0, 'compound': -0.6908}",neutral,0.7907109260559082
557614,557614,568387.0,Twitter Takes Down Trump Campaign's Video Tribute To George Floyd For Violating Copyright,2020-06-05 05:06:00-04:00,GOOG,twitter takes down trump campaigns video tribute to george floyd for violating copyright,"{'neg': 0.226, 'neu': 0.774, 'pos': 0.0, 'compound': -0.5423}",neutral,0.9332135319709778
557615,557615,568388.0,UPDATE: Chinese Government-Linked Hackers Recently Attempted To Break Into Presidential Candidate Joe Biden,2020-06-04 13:08:00-04:00,GOOG,update chinese government linked hackers recently attempted to break into presidential candidate joe biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.999365508556366
