,Unnamed: 0.1,Unnamed: 0,title,date,stock,Text_Cleaned,Score,label,score
723505,723505,734838.0,"Shares of several companies in the broader consumer staples sector are trading lower as markets dip amid concerns of a second wave of the coronavirus. Virus concerns have clouded economic outlook and negatively impacted stocks across sectors, including staples",2020-06-11 10:55:00-04:00,KO,shares of several companies in the broader consumer staples sector are trading lower as markets dip amid concerns of a second wave of the coronavirus virus concerns have clouded economic outlook and negatively impacted stocks across sectors including staples,"{'neg': 0.082, 'neu': 0.865, 'pos': 0.053, 'compound': -0.0516}",negative,0.9987279772758484
723506,723506,734839.0,"Morgan Stanley Maintains Equal-Weight on Coca-Cola, Raises Price Target to $52",2020-06-08 08:13:00-04:00,KO,morgan stanley maintains equal weight on coca cola raises price target to dollars 2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",positive,0.9995214939117432
723507,723507,734840.0,Shares of several consumer staples are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses. A vaccine could bring a return to increased consumer spending.,2020-05-26 12:14:00-04:00,KO,shares of several consumer staples are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some us states reopen businesses a vaccine could bring a return to increased consumer spending,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.8658}",positive,0.9996415376663208
723508,723508,734841.0,"Coca-Cola shares are trading higher, potentially amid strength in overall market. Additionally, reopenings of some US restaurants and venues could be potential demand catalysts for the company's products.",2020-05-20 12:39:00-04:00,KO,coca cola shares are trading higher potentially amid strength in overall market additionally reopenings of some us restaurants and venues could be potential demand catalysts for the companys products,"{'neg': 0.046, 'neu': 0.79, 'pos': 0.164, 'compound': 0.5994}",positive,0.9996961355209351
723509,723509,734842.0,"Coca-Cola CFO Says Trough Will Come In Q2, Says Bullish Credit Suisse",2020-05-15 12:16:00-04:00,KO,coca cola cfo says trough will come in second quarter says bullish credit suisse,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.3818}",positive,0.9988711476325989
723510,723510,734843.0,Not Just Fun And Games: How Esports Could Offer Potential Investment Opportunities,2020-05-12 06:43:00-04:00,KO,not just fun and games how esports could offer potential investment opportunities,"{'neg': 0.177, 'neu': 0.654, 'pos': 0.17, 'compound': -0.0263}",neutral,0.5388141870498657
723511,723511,734844.0,Shares of several consumer goods companies are trading higher amid overall market strength. Better-than-expected US jobless numbers and easing lockdown restrictions in some states has led to hopes of a rebound in consumer spending.,2020-05-08 11:36:00-04:00,KO,shares of several consumer goods companies are trading higher amid overall market strength better than expected us jobless numbers and easing lockdown restrictions in some states has led to hopes of a rebound in consumer spending,"{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.9022}",positive,0.9996194839477539
723512,723512,734845.0,"Citigroup Maintains Neutral on Coca-Cola, Lowers Price Target to $51",2020-04-22 12:34:00-04:00,KO,citigroup maintains neutral on coca cola lowers price target to dollars 1,"{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.128}",positive,0.9958662986755371
723513,723513,734846.0,"Jefferies Maintains Hold on Coca-Cola, Lowers Price Target to $47",2020-04-22 10:52:00-04:00,KO,jefferies maintains hold on coca cola lowers price target to dollars 7,"{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.128}",positive,0.9988186955451965
723514,723514,734847.0,"UBS Maintains Buy on Coca-Cola, Lowers Price Target to $154",2020-04-22 10:02:00-04:00,KO,ubs maintains buy on coca cola lowers price target to dollars 54,"{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.128}",positive,0.9993454813957214
