,Unnamed: 0.1,Unnamed: 0,title,date,stock,Text_Cleaned,Score,label,score
782596,782596,794151.0,"Shares of several technology companies are trading lower, selling off from Wednesday strength as an increase in coronavirus cases in some US states has led to concerns of a second wave of the virus.",2020-06-11 10:25:00-04:00,MA,shares of several technology companies are trading lower selling off from wednesday strength as an increase in coronavirus cases in some us states has led to concerns of a second wave of the virus,"{'neg': 0.055, 'neu': 0.752, 'pos': 0.193, 'compound': 0.6705}",negative,0.9986605644226074
782597,782597,794152.0,"FTC Bans Madera Merchant Services LLC, B&P Enterprises LLC and Owners Bruce C. Woods and Patricia Woods",2020-06-09 13:09:00-04:00,MA,ftc bans madera merchant services llc b and p enterprises llc and owners bruce c woods and patricia woods,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.999880313873291
782598,782598,794153.0,Price Over Earnings Overview: Mastercard,2020-06-09 11:10:00-04:00,MA,price over earnings overview mastercard,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998592138290405
782599,782599,794154.0,Citi Becomes First Issuer in U.S. to Enable Push Provisioning to Mastercard's Click to Pay.,2020-06-09 05:26:00-04:00,MA,citi becomes first issuer in u s to enable push provisioning to mastercards click to pay,"{'neg': 0.085, 'neu': 0.915, 'pos': 0.0, 'compound': -0.1027}",neutral,0.9998847246170044
782600,782600,794155.0,Shares of several companies in the broader technology space are trading higher as markets rally following strong US jobs data.,2020-06-05 11:47:00-04:00,MA,shares of several companies in the broader technology space are trading higher as markets rally following strong us jobs data,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.6705}",positive,0.999631404876709
782601,782601,794156.0,Shares of several companies in the broader technology sector are trading higher as markets rally following strong US jobs data.,2020-06-05 11:08:00-04:00,MA,shares of several companies in the broader technology sector are trading higher as markets rally following strong us jobs data,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.6705}",positive,0.9996389150619507
782602,782602,794157.0,A Look Into Mastercard's Price Over Earnings,2020-06-05 11:00:00-04:00,MA,a look into mastercards price over earnings,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998750686645508
782603,782603,794158.0,"Friday's Market Minute: Nasdaq's Top Performers: TSLA, REGN, PYPL",2020-06-05 09:29:00-04:00,MA,fridays market minute nasdaqs top performers tsla regn pypl,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.2023}",neutral,0.999862790107727
782604,782604,794159.0,Shares of several technology companies are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,2020-05-26 11:12:00-04:00,MA,shares of several technology companies are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some us states reopen businesses,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.8225}",positive,0.9996421337127686
782605,782605,794160.0,Mastercard Employees Can Work From Home Until Pandemic Is Under Control,2020-05-21 05:54:00-04:00,MA,mastercard employees can work from home until pandemic is under control,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.99988853931427
782606,782606,794161.0,"Shares of several technology companies are trading higher as equities gain amid strength in oil, strong earnings from Lowe's, and optimism towards a US economic rebound.",2020-05-20 10:19:00-04:00,MA,shares of several technology companies are trading higher as equities gain amid strength in oil strong earnings from lowes and optimism towards a us economic rebound,"{'neg': 0.0, 'neu': 0.574, 'pos': 0.426, 'compound': 0.9393}",positive,0.9996917247772217
782607,782607,794162.0,Singapore State Investor Temasek Joins Facebook's Libra Cryptocurrency Project,2020-05-15 07:02:00-04:00,MA,singapore state investor temasek joins facebooks libra cryptocurrency project,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998316764831543
782608,782608,794163.0,Temasek Holdings 13F Shows Raised Stake In Mastercard From ~1.54M Shares Last Qtr. To ~2.26M Shares,2020-05-15 06:49:00-04:00,MA,temasek holdings 13 f shows raised stake in mastercard from 1.54 million shares last qtr to 2.26 million shares,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.5267}",neutral,0.9807162880897522
782609,782609,794164.0,"The French Open Could Still Happen, Just Behind Closed Doors",2020-05-14 11:22:00-04:00,MA,the french open could still happen just behind closed doors,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998723268508911
782610,782610,794165.0,"Mastercard Offers Credit Card Volumes For Weeks Ended Apr. 28, May 7",2020-05-13 17:17:00-04:00,MA,mastercard offers credit card volumes for weeks ended apr 28 may 7,"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.3818}",neutral,0.9998922348022461
