,Unnamed: 0.1,Unnamed: 0,title,date,stock,Text_Cleaned,Score,label,score
885221,885221,897093.0,As Expected: Fed Keeps Rates Unchanged and Forecasts Years Of Dovish Policy,2020-06-10 16:20:00-04:00,NFLX,as expected fed keeps rates unchanged and forecasts years of dovish policy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9971193075180054
885222,885222,897094.0,"Hearing JP Morgan Reiterates Overweight Rating And $535 Price Target On Netflix, Saying  Daily User Growth Remains Elevated & Stable For About 6 Weeks And Download Growth Remains Elevated From Pre-pandemic Levels; Unconfirmed",2020-06-10 07:34:00-04:00,NFLX,hearing jp morgan reiterates overweight rating and dollars 35 price target on netflix saying daily growth remains elevated and stable for about 6 weeks and download growth remains elevated from pre pandemic levels unconfirmed,"{'neg': 0.097, 'neu': 0.68, 'pos': 0.223, 'compound': 0.6369}",positive,0.9996412992477417
885223,885223,897095.0,Netflix Option Trader Makes $73.6M Bet On 5% Upside,2020-06-09 14:11:00-04:00,NFLX,netflix option trader makes dollars 3.6 million bet on 5 percent upside,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.8201970458030701
885224,885224,897096.0,Netflix shares are trading higher. The stock sold off over the past month amid US business reopenings and appears to be rebounding.,2020-06-09 11:20:00-04:00,NFLX,netflix shares are trading higher the stock sold off over the past month amid us business reopenings and appears to be rebounding,"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.296}",positive,0.9996275901794434
885225,885225,897097.0,Munster Says Under-The-Radar Apple TV+ Will Contribute 20% Of Cupertino's Net Income Growth,2020-06-08 14:16:00-04:00,NFLX,munster says under the radar apple tv will contribute 20 percent of cupertinos net income growth,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.3818}",positive,0.9994009733200073
885226,885226,897098.0,"ESPAÑOL • Notas de la Semana: Arrestos por Marihuana con Berner, Twista y Chris Webby, Leather Storrs, Trump, THCP, y Más",2020-06-06 09:18:00-04:00,NFLX,español • notas de la semana arrestos por marihuana con berner twista y chris webby leather storrs trump thcp y más,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998699426651001
885227,885227,897099.0,Citron On Genius Brands: 'The Lowest Form Of Retail Investor',2020-06-04 11:01:00-04:00,NFLX,citron on genius brands the lowest form of retail investor,"{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.3818}",neutral,0.9998714923858643
885228,885228,897100.0,"Why Genius Brands Is On A Massive Rally, Adding Nearly 2500% Value In A Month",2020-06-04 01:01:00-04:00,NFLX,why genius brands is on a massive rally adding nearly 2500 percent value in a month,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.34}",positive,0.99965500831604
885229,885229,897101.0,"Stocks Keep Rallying Even During Protests Because 'Nobody Is Investing To Make The World A Better Place,' Analysts Say",2020-06-03 06:45:00-04:00,NFLX,stocks keep rallying even during protests because nobody is investing to make the world a better place analysts say,"{'neg': 0.087, 'neu': 0.78, 'pos': 0.133, 'compound': 0.25}",positive,0.9974555373191833
885230,885230,897102.0,Tesla CEO Musk Says Other Three Officers Should Be Charged In Floyd's Murder Case,2020-06-02 06:12:00-04:00,NFLX,tesla ceo musk says other three officers should be charged in floyds murder case,"{'neg': 0.351, 'neu': 0.649, 'pos': 0.0, 'compound': -0.7579}",neutral,0.9998514652252197
