,Unnamed: 0.1,Unnamed: 0,title,date,stock,Text_Cleaned,Score,label,score
988132,988132,1000270.0,"Shares of several healthcare companies are trading lower in sympathy with the overall market following an increase in coronavirus cases in some US states that have reopened, leading to concerns of a second wave of the virus.",2020-06-11 10:22:00-04:00,PFE,shares of several healthcare companies are trading lower in sympathy with the overall market following an increase in coronavirus cases in some us states that have reopened leading to concerns of a second wave of the virus,"{'neg': 0.052, 'neu': 0.782, 'pos': 0.166, 'compound': 0.5859}",negative,0.9986187219619751
988133,988133,1000271.0,Pfizer Reports FDA Approval Of Co.'s NYVEPRIA,2020-06-11 08:04:00-04:00,PFE,pfizer reports fda approval of co s nyvepria,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.4767}",positive,0.9959858059883118
988134,988134,1000272.0,Johnson & Johnson To Start Coronavirus Vaccine Human Trials Ahead Of Schedule In July,2020-06-11 00:16:00-04:00,PFE,johnson and johnson to start coronavirus vaccine human trials ahead of schedule in july,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998063445091248
988135,988135,1000273.0,"The Daily Biotech Pulse: Keytruda Setback For Merck, Denali Pulls The Plug On Neurological Asset",2020-06-10 07:30:00-04:00,PFE,the daily biotech pulse keytruda setback for merck denali pulls the plug on neurological asset,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.3612}",negative,0.9967449903488159
988136,988136,1000274.0,"Pfizer Announces Top-Line Results From JADE TEEN Trial Of Abrocitinib In Adolescents With Moderate-To-Severe Atopic Dermatitis; Observed Improvements In Skin Clearance, Disease Extent, And Severity Among Patients 12 To <18",2020-06-10 06:46:00-04:00,PFE,pfizer announces top line results from jade teen trial of abrocitinib in adolescents with moderate to severe atopic dermatitis observed improvements in skin clearance disease extent and severity among patients 12 to less than 18,"{'neg': 0.067, 'neu': 0.827, 'pos': 0.106, 'compound': 0.128}",positive,0.9996445178985596
988137,988137,1000275.0,Valneva Announces HSR Clearance For Lyme Vaccine Collaboration With Pfizer,2020-06-08 12:04:00-04:00,PFE,valneva announces hsr clearance for lyme vaccine collaboration with pfizer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",positive,0.9989533424377441
988138,988138,1000276.0,AstraZeneca Approached Gilead With A Deal That Could Be The Biggest On Record: Report,2020-06-08 03:56:00-04:00,PFE,astrazeneca approached gilead with a deal that could be the biggest on record report,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",positive,0.9969960451126099
988139,988139,1000277.0,Ex-FDA Chief On White House's Coronavirus Vaccine Shortlist: 'They Chose Very Novel Platforms',2020-06-04 11:02:00-04:00,PFE,ex fda chief on white houses coronavirus vaccine shortlist they chose very novel platforms,"{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.3804}",neutral,0.9998428821563721
988140,988140,1000278.0,Revisiting The Coronavirus Vaccine Race: Updates On The 10 Candidates In Clinics,2020-06-03 17:53:00-04:00,PFE,revisiting the coronavirus vaccine race updates on the 10 candidates in clinics,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.999884843826294
988141,988141,1000279.0,"UPDATE: Five Companies Chosen For 'Vaccine Finalist' Are Moderna, Johnson & Johnson, Merck, Pfizer And AstraZeneca",2020-06-03 13:09:00-04:00,PFE,update five companies chosen for vaccine finalist are moderna johnson and johnson merck pfizer and astrazeneca,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998862743377686
988142,988142,1000280.0,"Fauci Reiterates Moderna Vaccine Data Is 'Cautiously Optimistic,' Expects Pfizer's Results To Be The Same",2020-06-02 08:56:00-04:00,PFE,fauci reiterates moderna vaccine data is cautiously optimistic expects pfizers results to be the same,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.3182}",positive,0.9994264841079712
988143,988143,1000281.0,"The Daily Biotech Pulse: FDA Nod For Roche's Combo Therapy In Liver Cancer, Allena Rips Higher, Pfizer To Invest Up To $500M In Biotechs",2020-06-02 07:45:00-04:00,PFE,the daily biotech pulse fda nod for roches combo therapy in liver cancer allena rips higher pfizer to invest up to dollars 00 million in biotechs,"{'neg': 0.15, 'neu': 0.85, 'pos': 0.0, 'compound': -0.6597}",positive,0.9992891550064087
988144,988144,1000282.0,71 Biggest Movers From Yesterday,2020-06-02 04:39:00-04:00,PFE,71 biggest movers from yesterday,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998496770858765
