,Unnamed: 0.1,Unnamed: 0,title,date,stock,Text_Cleaned,Score,label,score
991762,991762,1003927.0,Price Over Earnings Overview: Procter & Gamble,2020-06-05 11:12:00-04:00,PG,price over earnings overview procter and gamble,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998619556427002
991763,991763,1003928.0,Shares of several consumer goods companies are trading higher amid overall market strength. Better-than-expected US jobless numbers and easing lockdown restrictions in some states has led to hopes of a rebound in consumer spending.,2020-05-08 11:36:00-04:00,PG,shares of several consumer goods companies are trading higher amid overall market strength better than expected us jobless numbers and easing lockdown restrictions in some states has led to hopes of a rebound in consumer spending,"{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.9022}",positive,0.9996194839477539
991764,991764,1003929.0,"Morgan Stanley Maintains Overweight on Procter & Gamble, Raises Price Target to $134",2020-04-21 08:44:00-04:00,PG,morgan stanley maintains overweight on procter and gamble raises price target to dollars 34,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3612}",positive,0.9860959649085999
991765,991765,1003930.0,"Citigroup Maintains Buy on Procter & Gamble, Raises Price Target to $146",2020-04-20 13:30:00-04:00,PG,citigroup maintains buy on procter and gamble raises price target to dollars 46,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",positive,0.9996117949485779
991766,991766,1003931.0,"Stifel Maintains Buy on Procter & Gamble, Raises Price Target to $129",2020-04-20 10:16:00-04:00,PG,stifel maintains buy on procter and gamble raises price target to dollars 29,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",positive,0.9996376037597656
991767,991767,1003932.0,Mid-Afternoon Market Update: Dow Climbs 350 Points; Tronox Holdings Shares Spike Higher,2020-04-17 14:46:00-04:00,PG,mid afternoon market update dow climbs 350 points tronox holdings shares spike higher,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.296}",positive,0.9995648264884949
991768,991768,1003933.0,Mid-Day Market Update: Crude Oil Down Over 7%; Stein Mart Shares Plunge,2020-04-17 12:17:00-04:00,PG,mid day market update crude oil down over 7 percent stein mart shares plunge,"{'neg': 0.207, 'neu': 0.67, 'pos': 0.123, 'compound': -0.3612}",negative,0.9978875517845154
991769,991769,1003934.0,Morning Market Stats in 5 Minutes,2020-04-17 10:22:00-04:00,PG,morning market stats in 5 minutes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998799562454224
991770,991770,1003935.0,Mid-Morning Market Update: Markets Open Higher; Procter & Gamble Reports Mixed Q1 Results,2020-04-17 10:12:00-04:00,PG,mid morning market update markets open higher procter and gamble reports mixed first quarter results,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",positive,0.9698222875595093
991771,991771,1003936.0,"Big Earnings Day As Honeywell, Procter & Gamble, Schlumberger Among Those Reporting",2020-04-17 09:46:00-04:00,PG,big earnings day as honeywell procter and gamble schlumberger among those reporting,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",positive,0.9792770743370056
991772,991772,1003937.0,Friday's Market Minute: Can Toilet Paper Save Procter & Gamble?,2020-04-17 09:16:00-04:00,PG,fridays market minute can toilet paper save procter and gamble,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4939}",positive,0.9993185997009277
991773,991773,1003938.0,Mike Khouw Sees Unusual Options Activity In Procter & Gamble,2020-04-17 07:46:00-04:00,PG,mike khouw sees unusual options activity in procter and gamble,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.99540776014328
991774,991774,1003939.0,Procter & Gamble: Q3 Earnings Insights,2020-04-17 07:16:00-04:00,PG,procter and gamble third quarter earnings insights,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9997996687889099
991775,991775,1003940.0,"P&G Reaffirms Guidance For Sales, Earnings, Adj. Free Cash Flow Figures",2020-04-17 07:01:00-04:00,PG,p and g reaffirms guidance for sales earnings adj free cash flow figures,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.5106}",positive,0.9982032775878906
991776,991776,1003941.0,"Procter & Gamble Q3 Adj. EPS $1.170 Beats $1.130 Estimate, Sales $17.200B Miss $17.460B Estimate",2020-04-17 07:00:00-04:00,PG,procter and gamble third quarter adj eps dollars .170 beats dollars .130 estimate sales dollars 7.200 billion miss dollars 7.460 billion estimate,"{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.1531}",neutral,0.9998296499252319
991777,991777,1003942.0,A Peek Into The Markets: US Stock Futures Signal Higher Start On Wall Street,2020-04-17 05:54:00-04:00,PG,a peek into the markets us stock futures signal higher start on wall street,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",positive,0.995781421661377
991778,991778,1003943.0,"7 Stocks To Watch For April 17, 2020",2020-04-17 05:04:00-04:00,PG,7 stocks to watch for april 17 2020,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998631477355957
991779,991779,1003944.0,"Earnings Scheduled For April 17, 2020",2020-04-17 04:17:00-04:00,PG,earnings scheduled for april 17 2020,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998855590820312
991780,991780,1003945.0,"Alibaba, Tesla Among Cramer's Stay-At-Home Stock Ideas",2020-04-16 11:48:00-04:00,PG,alibaba tesla among cramers stay at home stock ideas,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9997057318687439
991781,991781,1003946.0,"Morgan Stanley Misses On EPS, But Shows Strong Trading Results For Q1 As Banks Wrap Up",2020-04-16 09:49:00-04:00,PG,morgan stanley misses on eps but shows strong trading results for first quarter as banks wrap up,"{'neg': 0.069, 'neu': 0.718, 'pos': 0.213, 'compound': 0.6124}",positive,0.9990353584289551
991782,991782,1003947.0,Every Member Of Trump's 'Great American Economic Revival' Industry Groups,2020-04-15 13:09:00-04:00,PG,every member of trumps great american economic revival industry groups,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.6249}",neutral,0.9998745918273926
991783,991783,1003948.0,"Deutsche Bank Maintains Buy on Procter & Gamble, Raises Price Target to $131",2020-04-15 08:32:00-04:00,PG,deutsche bank maintains buy on procter and gamble raises price target to dollars 31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",positive,0.9996212720870972
991784,991784,1003949.0,P&G Raises Qtr. Dividend From $0.7459 To $0.7907/Share,2020-04-14 16:18:00-04:00,PG,p and g raises qtr dividend from dollars .7459 to dollars,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",positive,0.999186098575592
991785,991785,1003950.0,"Shares of several consumer staples companies are trading higher amid overall market strength on optimistic investor outlook surrounding the coronavirus. Additionally, the pandemic has led to 'bulk buying' of household items.",2020-04-14 12:18:00-04:00,PG,shares of several consumer staples companies are trading higher amid overall market strength on optimistic investor outlook surrounding the coronavirus additionally the pandemic has led to bulk buying of household items,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.7717}",positive,0.999695897102356
991786,991786,1003951.0,"Barron's Picks And Pans: Post-Pandemic Ideas, Safe Dividends And More",2020-04-04 14:25:00-04:00,PG,barrons picks and pans post pandemic ideas safe dividends and more,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",neutral,0.5956264138221741
991787,991787,1003952.0,"Analysts Share Stocks They Would Buy In This Environment: Exxon Mobil, P&G And More",2020-04-03 17:09:00-04:00,PG,analysts share stocks they would buy in this environment exxon mobil p and g and more,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.296}",neutral,0.9998540878295898
991788,991788,1003953.0,A Look Into Procter & Gamble's Price Over Earnings,2020-04-02 11:43:00-04:00,PG,a look into procter and gambles price over earnings,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998063445091248
991789,991789,1003954.0,"Cramer Shares His Thoughts On Procter & Gamble, Virgin Galactic And More",2020-04-02 09:28:00-04:00,PG,cramer shares his thoughts on procter and gamble virgin galactic and more,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.296}",neutral,0.9998641014099121
991790,991790,1003955.0,"Another Wild Wednesday: New Quarter, Same Old Sell-Off As Fears Of Crisis Intensify",2020-04-01 16:52:00-04:00,PG,another wild wednesday new quarter same old sell off as fears of crisis intensify,"{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.7845}",negative,0.9980884194374084
991791,991791,1003956.0,Afternoon Market Stats in 5 Minutes,2020-03-31 12:57:00-04:00,PG,afternoon market stats in 5 minutes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.999882698059082
991792,991792,1003957.0,Procter & Gamble shares are trading lower despite market strength. NOTE: The consumer staples sector has been volatile recently amid increased consumer demand for household items and staples.,2020-03-31 12:52:00-04:00,PG,procter and gamble shares are trading lower despite market strength note the consumer staples sector has been volatile recently amid increased consumer demand for household items and staples,"{'neg': 0.188, 'neu': 0.684, 'pos': 0.128, 'compound': -0.2565}",negative,0.9987481832504272
991793,991793,1003958.0,"Morgan Stanley Maintains Overweight on Procter & Gamble, Lowers Price Target to $125",2020-03-31 08:35:00-04:00,PG,morgan stanley maintains overweight on procter and gamble lowers price target to dollars 25,"{'neg': 0.25, 'neu': 0.75, 'pos': 0.0, 'compound': -0.4588}",positive,0.9994189739227295
