,Unnamed: 0.1,Unnamed: 0,title,date,stock,Text_Cleaned,Score,label,score
1248282,1248282,1261140.0,"Tesla's Stock Closes At All-Time High As Musk Pushes Semi, Employees Reportedly Test Positive For COVID-19",2020-06-10 17:02:00-04:00,TSLA,teslas stock closes at all time high as musk pushes semi employees reportedly test positive for covid 19,"{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.5574}",positive,0.973629891872406
1248283,1248283,1261141.0,'Tesla factory workplace safety is 5% better than industry average for manufacturers & improving fast' -Tweet From Tesla's Elon Musk,2020-06-10 15:08:00-04:00,TSLA,tesla factory workplace safety is 5 percent better than industry average for manufacturers and improving fast tweet from teslas elon musk,"{'neg': 0.0, 'neu': 0.679, 'pos': 0.321, 'compound': 0.8176}",positive,0.999680757522583
1248284,1248284,1261142.0,'Tesla hacker unlocks Performance upgrade and acceleration boost at a discount' -Elektrek Report,2020-06-10 12:41:00-04:00,TSLA,tesla hacker unlocks performance upgrade and acceleration boost at a discount elektrek report,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.4019}",positive,0.9995161294937134
1248285,1248285,1261143.0,GM On Track To Spend $20B On EV And AV Development By 2025,2020-06-10 11:33:00-04:00,TSLA,gm on track to spend dollars 0 billion on ev and av development by 2025,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9989728927612305
1248286,1248286,1261144.0,"Tesla's Journey To $1,000 In 2020",2020-06-10 10:15:00-04:00,TSLA,teslas journey to dollars 000 in 2020,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998631477355957
1248287,1248287,1261145.0,"Tesla Shares Mark Session And New All-Time High At $1,000",2020-06-10 09:58:00-04:00,TSLA,tesla shares mark session and new all time high at dollars 000,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.296}",positive,0.9923906922340393
1248288,1248288,1261146.0,"Wedbush Says Tesla Has 'Game Changing' Developments, Lifts Target To $1,000",2020-06-10 09:00:00-04:00,TSLA,wedbush says tesla has game changing developments lifts target to dollars 000,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",positive,0.9994934797286987
1248289,1248289,1261147.0,"Wedbush Maintains Neutral on Tesla, Raises Price Target to $1000",2020-06-10 08:43:00-04:00,TSLA,wedbush maintains neutral on tesla raises price target to dollars 000,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",positive,0.9991293549537659
1248290,1248290,1261148.0,Musk Says It's Time To Ramp Production Of Tesla Semi: Report,2020-06-10 08:14:00-04:00,TSLA,musk says its time to ramp production of tesla semi report,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998825788497925
1248291,1248291,1261149.0,Tesla shares are trading higher after Wedbush raised its price target on the company's stock from $800 to $1000.,2020-06-10 07:55:00-04:00,TSLA,tesla shares are trading higher after wedbush raised its price target on the companys stock from dollars 00 to dollars 000,"{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.296}",positive,0.9995817542076111
1248292,1248292,1261150.0,Electrek Reports Tesla VP Of Business Development In China Has Left Co.,2020-06-10 07:50:00-04:00,TSLA,electrek reports tesla vp of business development in china has left co,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998277425765991
1248293,1248293,1261151.0,"Wedbush Raises Tesla Price Target From $800 To $1,000; Says With Model 3 Demand Ramping In China, US/Europe Lockdown Easing And Battery Developments, Stock 'likely has room to run further'",2020-06-10 07:48:00-04:00,TSLA,wedbush raises tesla price target from dollars 00 to dollars 000 says with model 3 demand ramping in china us and europe lockdown easing and battery developments stock likely has room to run further,"{'neg': 0.042, 'neu': 0.901, 'pos': 0.056, 'compound': 0.128}",positive,0.999388575553894
1248294,1248294,1261152.0,"Tesla's Musk Says It's Time To Bring Tesla Semi To Volume Production; Says Production Of Battery And Powertrain Will Take Place At Nevada Factory, Says Most Of Other Works Probably Occurring In Other States",2020-06-10 07:11:00-04:00,TSLA,teslas musk says its time to bring tesla semi to volume production says production of battery and powertrain will take place at nevada factory says most of other works probably occurring in other states,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9998741149902344
1248295,1248295,1261153.0,"Hearing Wedbush Raises Tesla Base Price Target From $800 To $1,000; Unconfirmed",2020-06-10 06:55:00-04:00,TSLA,hearing wedbush raises tesla base price target from dollars 00 to dollars 000 unconfirmed,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.128}",positive,0.9983526468276978
1248296,1248296,1261154.0,Key Tesla Executive Behind Shanghai Gigafactory Leaves Company After 5 Years,2020-06-10 04:08:00-04:00,TSLA,key tesla executive behind shanghai gigafactory leaves company after 5 years,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0.9987014532089233
